,toxic
97,0
130,0
292,0
170,0
423,1
473,0
182,0
470,0
363,0
38,0
14,0
375,0
496,0
3,0
348,0
469,0
408,0
396,0
209,0
160,0
15,0
492,0
425,0
107,0
381,0
449,0
310,0
226,0
169,0
33,0
413,0
250,0
246,0
268,1
140,0
273,0
415,1
95,0
226,0
378,0
38,0
301,0
499,0
28,0
445,0
496,0
476,1
317,0
244,0
235,0
184,0
271,0
439,1
235,0
238,1
376,0
265,0
413,0
408,0
358,0
339,0
388,0
64,0
477,0
176,1
2,0
428,0
141,0
375,0
157,0
497,1
323,0
145,0
445,0
292,0
152,0
431,0
192,0
436,0
493,0
462,0
72,0
398,0
304,0
376,0
343,0
451,1
139,0
186,0
292,0
60,0
484,0
426,0
379,0
197,0
294,0
439,1
318,1
301,0
343,0
10,0
61,0
332,0
225,0
152,0
198,0
51,1
259,0
58,1
71,0
147,0
348,0
62,0
309,0
372,0
242,0
492,0
365,0
329,0
106,0
225,0
312,1
217,0
424,0
240,0
258,0
375,0
261,0
4,0
260,0
53,0
46,0
214,0
176,1
8,0
98,0
19,0
377,0
240,0
60,0
378,0
489,0
418,0
177,0
337,0
61,0
144,0
215,0
2,0
159,1
226,0
485,0
268,1
119,0
380,0
494,0
88,0
328,0
67,0
397,0
356,0
97,0
266,0
104,0
439,1
322,0
122,0
475,0
28,0
136,0
194,0
408,0
225,0
331,0
169,0
8,0
462,0
39,0
24,0
260,0
394,0
442,1
225,0
471,0
123,0
462,0
37,0
327,0
250,0
388,0
175,0
89,0
401,0
453,0
36,0
315,0
175,0
460,0
283,0
452,0
460,0
80,0
113,0
39,0
300,1
223,0
317,0
348,0
114,0
185,0
322,0
55,1
39,0
353,0
39,0
346,0
460,0
236,0
288,0
261,0
215,0
146,0
335,1
167,0
91,0
352,0
58,1
58,1
303,0
168,1
268,1
362,0
44,1
344,1
180,0
169,0
355,0
190,0
154,0
421,0
187,0
6,1
132,0
234,0
44,1
313,0
248,0
498,0
30,0
22,0
425,0
393,0
159,1
362,0
436,0
157,0
38,0
414,0
81,0
355,0
257,0
205,0
76,0
476,1
11,0
294,0
449,0
223,0
12,1
45,0
154,0
112,0
232,0
16,1
359,0
222,0
353,0
187,0
447,0
343,0
364,0
162,0
495,0
325,0
466,0
413,0
454,0
73,0
232,0
223,0
481,0
318,1
411,0
59,1
334,0
221,0
36,0
476,1
277,0
195,0
403,0
351,0
483,0
241,0
323,0
218,1
191,0
16,1
11,0
405,0
400,0
393,0
373,0
192,0
21,0
473,0
119,0
209,0
305,0
269,0
191,0
174,0
284,0
203,0
163,0
250,0
226,0
435,0
380,0
459,0
6,1
28,0
394,0
32,0
133,0
366,0
78,0
415,1
434,0
458,0
57,0
470,0
25,0
481,0
429,1
225,0
284,0
3,0
464,0
98,0
396,0
488,0
38,0
270,0
374,0
284,0
156,0
74,0
371,0
287,0
129,0
174,0
461,0
83,0
21,0
458,0
26,0
194,0
336,0
381,0
235,0
439,1
91,0
476,1
20,0
302,0
463,0
356,0
442,1
83,0
261,0
146,0
440,0
452,0
386,0
256,0
57,0
379,0
421,0
14,0
161,0
444,0
162,0
319,0
496,0
280,0
279,0
11,0
273,0
270,0
491,0
207,0
26,0
71,0
59,1
429,1
472,0
144,0
92,0
308,0
7,0
78,0
26,0
173,0
49,0
499,0
198,0
386,0
348,0
447,0
427,0
180,0
23,0
315,0
377,0
386,0
403,0
45,0
14,0
152,0
221,0
205,0
454,0
272,0
381,0
235,0
339,0
227,0
8,0
165,0
431,0
443,0
318,1
213,0
116,0
385,0
343,0
71,0
394,0
63,0
204,0
208,0
71,0
276,0
273,0
477,0
319,0
337,0
365,0
494,0
94,0
165,0
31,0
10,0
300,1
216,0
288,0
101,0
424,0
391,0
266,0
213,0
178,0
87,0
40,0
400,0
75,0
376,0
45,0
159,1
462,0
79,1
309,0
85,0
91,0
147,0
160,0
201,1
423,1
415,1
241,0
352,0
1,0
224,0
288,0
232,0
460,0
413,0
416,0
76,0
115,0
153,0
405,0
102,0
193,0
165,0
358,0
89,0
173,0
121,0
497,1
142,0
481,0
105,1
374,0
427,0
304,0
359,0
458,0
316,0
450,0
122,0
389,0
8,0
261,0
72,0
358,0
222,0
415,1
40,0
369,0
203,0
263,0
327,0
177,0
347,0
317,0
83,0
317,0
110,0
250,0
382,0
6,1
458,0
83,0
207,0
387,0
389,0
313,0
21,0
409,0
382,0
2,0
126,0
296,0
187,0
361,0
13,0
458,0
465,0
11,0
86,1
11,0
396,0
24,0
300,1
242,0
121,0
146,0
54,0
237,0
355,0
172,0
391,0
220,0
118,0
308,0
182,0
287,0
306,0
299,0
81,0
453,0
401,0
210,0
149,0
36,0
351,0
311,0
360,0
58,1
130,0
411,0
201,1
242,0
34,0
444,0
92,0
437,1
446,0
206,1
352,0
390,0
331,0
304,0
349,0
212,0
158,0
441,0
444,0
23,0
403,0
292,0
3,0
219,0
363,0
381,0
19,0
443,0
151,1
49,0
176,1
434,0
95,0
104,0
419,0
249,0
116,0
353,0
227,0
65,1
334,0
417,0
419,0
261,0
294,0
425,0
242,0
370,0
185,0
245,0
124,0
267,0
130,0
236,0
17,0
39,0
20,0
398,0
224,0
354,0
281,0
7,0
99,0
239,0
477,0
86,1
297,0
427,0
13,0
333,0
1,0
374,0
292,0
324,1
421,0
492,0
40,0
317,0
315,0
380,0
110,0
13,0
230,0
472,0
83,0
129,0
230,0
325,0
144,0
378,0
344,1
27,0
65,1
162,0
228,0
260,0
448,0
423,1
459,0
439,1
163,0
300,1
406,0
302,0
286,1
394,0
9,0
194,0
117,0
269,0
79,1
457,0
92,0
265,0
331,0
349,0
360,0
256,0
132,0
275,0
263,0
170,0
459,0
0,0
312,1
63,0
373,0
467,0
283,0
120,0
106,0
420,0
174,0
484,0
203,0
164,0
304,0
496,0
119,0
43,1
311,0
155,0
366,0
206,1
389,0
107,0
250,0
444,0
403,0
369,0
333,0
129,0
456,0
292,0
19,0
281,0
284,0
0,0
118,0
34,0
197,0
484,0
244,0
58,1
324,1
160,0
496,0
178,0
205,0
11,0
489,0
275,0
180,0
241,0
215,0
250,0
298,1
125,0
481,0
216,0
305,0
284,0
184,0
38,0
222,0
183,0
494,0
426,0
177,0
406,0
427,0
293,0
339,0
150,0
383,0
125,0
300,1
307,0
335,1
433,0
233,0
379,0
374,0
7,0
497,1
340,0
128,0
263,0
156,0
351,0
357,0
4,0
494,0
85,0
174,0
289,0
192,0
310,0
118,0
217,0
426,0
457,0
413,0
113,0
465,0
144,0
25,0
135,0
302,0
231,1
368,0
75,0
474,0
327,0
344,1
301,0
451,1
288,0
0,0
146,0
286,1
463,0
141,0
52,0
303,0
68,0
360,0
89,0
445,0
219,0
449,0
497,1
191,0
453,0
62,0
72,0
160,0
168,1
88,0
175,0
268,1
72,0
244,0
76,0
158,0
488,0
458,0
323,0
97,0
380,0
101,0
493,0
131,0
101,0
18,0
453,0
481,0
81,0
396,0
488,0
278,1
338,0
364,0
330,1
128,0
343,0
309,0
454,0
88,0
212,0
142,0
64,0
75,0
198,0
142,0
404,0
402,0
315,0
92,0
472,0
416,0
304,0
223,0
496,0
290,0
427,0
101,0
473,0
266,0
354,0
455,0
109,0
461,0
329,0
449,0
429,1
264,0
2,0
84,0
281,0
327,0
303,0
449,0
453,0
411,0
116,0
220,0
153,0
152,0
11,0
132,0
481,0
303,0
292,0
462,0
299,0
227,0
270,0
42,1
431,0
342,1
325,0
301,0
497,1
363,0
378,0
426,0
492,0
20,0
406,0
106,0
335,1
302,0
116,0
123,0
398,0
280,0
291,0
202,0
50,0
270,0
323,0
276,0
140,0
469,0
274,0
289,0
333,0
380,0
451,1
495,0
372,0
51,1
493,0
26,0
156,0
238,1
155,0
290,0
135,0
143,0
105,1
419,0
157,0
145,0
1,0
432,0
76,0
131,0
89,0
344,1
349,0
458,0
262,0
350,0
107,0
73,0
38,0
396,0
158,0
70,0
446,0
311,0
240,0
425,0
444,0
297,0
439,1
35,0
83,0
451,1
373,0
262,0
309,0
384,0
171,0
375,0
172,0
361,0
46,0
378,0
140,0
374,0
405,0
117,0
276,0
213,0
219,0
392,1
25,0
8,0
270,0
9,0
471,0
377,0
120,0
124,0
169,0
71,0
151,1
207,0
48,0
153,0
346,0
292,0
67,0
49,0
151,1
18,0
99,0
59,1
166,0
201,1
344,1
145,0
402,0
163,0
457,0
480,0
438,0
241,0
68,0
174,0
48,0
482,0
107,0
225,0
160,0
118,0
148,0
464,0
149,0
431,0
292,0
142,0
418,0
475,0
454,0
159,1
10,0
137,0
456,0
77,0
76,0
440,0
253,0
408,0
257,0
319,0
290,0
262,0
84,0
145,0
322,0
41,0
373,0
124,0
166,0
424,0
240,0
458,0
486,0
279,0
187,0
301,0
18,0
67,0
217,0
101,0
41,0
287,0
166,0
108,0
493,0
35,0
231,1
228,0
352,0
163,0
386,0
72,0
135,0
352,0
378,0
69,0
424,0
486,0
195,0
268,1
48,0
315,0
129,0
443,0
4,0
427,0
26,0
159,1
148,0
263,0
229,0
199,0
49,0
66,0
299,0
380,0
57,0
258,0
341,0
325,0
129,0
214,0
171,0
257,0
101,0
208,0
290,0
353,0
470,0
285,0
115,0
263,0
149,0
299,0
441,0
35,0
452,0
332,0
476,1
286,1
302,0
310,0
207,0
105,1
445,0
157,0
120,0
54,0
399,0
11,0
144,0
399,0
395,0
135,0
467,0
2,0
143,0
29,0
236,0
278,1
347,0
114,0
103,0
117,0
4,0
467,0
359,0
247,0
363,0
320,0
120,0
285,0
148,0
83,0
453,0
405,0
465,0
455,0
230,0
287,0
160,0
271,0
459,0
37,0
499,0
225,0
141,0
291,0
480,0
150,0
113,0
236,0
65,1
360,0
340,0
257,0
474,0
248,0
456,0
448,0
330,1
322,0
179,1
189,0
406,0
153,0
195,0
465,0
310,0
261,0
418,0
405,0
426,0
142,0
341,0
315,0
100,0
243,0
489,0
11,0
238,1
48,0
41,0
165,0
81,0
428,0
290,0
157,0
215,0
489,0
157,0
461,0
133,0
66,0
335,1
6,1
435,0
13,0
72,0
398,0
404,0
162,0
65,1
346,0
129,0
418,0
465,0
205,0
275,0
465,0
255,0
265,0
24,0
449,0
280,0
252,0
309,0
288,0
163,0
94,0
269,0
320,0
109,0
335,1
309,0
237,0
380,0
435,0
386,0
482,0
424,0
389,0
24,0
140,0
116,0
481,0
391,0
404,0
481,0
451,1
24,0
78,0
67,0
172,0
443,0
11,0
287,0
127,0
95,0
91,0
140,0
30,0
333,0
19,0
145,0
476,1
315,0
446,0
389,0
159,1
348,0
42,1
253,0
129,0
59,1
150,0
466,0
286,1
498,0
4,0
466,0
417,0
265,0
344,1
129,0
381,0
266,0
177,0
252,0
414,0
55,1
462,0
456,0
470,0
82,0
392,1
98,0
148,0
328,0
155,0
189,0
493,0
370,0
262,0
79,1
399,0
251,0
96,0
259,0
259,0
102,0
39,0
272,0
100,0
358,0
379,0
307,0
220,0
307,0
419,0
123,0
421,0
230,0
177,0
62,0
484,0
115,0
190,0
61,0
255,0
482,0
6,1
154,0
91,0
469,0
13,0
454,0
228,0
85,0
132,0
182,0
385,0
61,0
218,1
404,0
245,0
229,0
78,0
148,0
137,0
470,0
313,0
375,0
422,0
388,0
64,0
12,1
212,0
473,0
241,0
492,0
212,0
180,0
337,0
484,0
172,0
159,1
163,0
464,0
482,0
496,0
187,0
394,0
190,0
404,0
307,0
255,0
182,0
116,0
281,0
195,0
33,0
51,1
111,0
251,0
81,0
231,1
226,0
232,0
220,0
435,0
412,0
421,0
41,0
20,0
41,0
396,0
112,0
104,0
191,0
16,1
119,0
392,1
424,0
128,0
129,0
59,1
47,0
28,0
96,0
9,0
241,0
313,0
443,0
231,1
276,0
283,0
202,0
246,0
289,0
263,0
442,1
213,0
199,0
432,0
78,0
400,0
443,0
342,1
343,0
172,0
466,0
68,0
415,1
427,0
448,0
86,1
100,0
7,0
332,0
199,0
86,1
42,1
384,0
108,0
434,0
407,0
482,0
151,1
16,1
132,0
147,0
276,0
231,1
313,0
414,0
365,0
227,0
138,0
435,0
398,0
210,0
390,0
498,0
27,0
50,0
490,0
441,0
260,0
260,0
349,0
351,0
7,0
319,0
137,0
37,0
110,0
479,0
367,0
219,0
336,0
222,0
135,0
255,0
359,0
408,0
328,0
449,0
462,0
433,0
450,0
48,0
291,0
381,0
323,0
77,0
104,0
168,1
216,0
377,0
118,0
189,0
254,0
369,0
265,0
148,0
163,0
139,0
346,0
487,0
257,0
373,0
268,1
180,0
159,1
350,0
399,0
287,0
287,0
379,0
225,0
10,0
9,0
270,0
272,0
423,1
401,0
182,0
456,0
152,0
487,0
314,0
333,0
123,0
472,0
113,0
277,0
499,0
413,0
467,0
212,0
171,0
287,0
434,0
173,0
112,0
375,0
404,0
482,0
121,0
31,0
221,0
118,0
38,0
496,0
267,0
232,0
430,0
17,0
148,0
396,0
148,0
125,0
391,0
301,0
359,0
237,0
134,0
150,0
235,0
223,0
202,0
255,0
85,0
149,0
234,0
344,1
21,0
347,0
284,0
268,1
465,0
257,0
28,0
212,0
462,0
435,0
282,0
49,0
94,0
462,0
498,0
406,0
87,0
43,1
460,0
277,0
170,0
420,0
188,0
352,0
183,0
2,0
190,0
117,0
18,0
22,0
412,0
29,0
294,0
107,0
366,0
280,0
127,0
228,0
110,0
135,0
361,0
185,0
143,0
71,0
128,0
363,0
260,0
2,0
448,0
387,0
103,0
482,0
223,0
319,0
361,0
353,0
490,0
472,0
9,0
404,0
383,0
301,0
230,0
218,1
410,0
65,1
424,0
111,0
12,1
392,1
499,0
419,0
85,0
233,0
89,0
313,0
53,0
11,0
208,0
461,0
13,0
120,0
417,0
436,0
376,0
19,0
74,0
399,0
242,0
222,0
69,0
311,0
210,0
100,0
185,0
131,0
110,0
380,0
131,0
19,0
393,0
23,0
226,0
153,0
292,0
229,0
468,0
309,0
487,0
358,0
404,0
201,1
37,0
429,1
259,0
187,0
56,1
428,0
19,0
272,0
118,0
70,0
3,0
220,0
13,0
2,0
215,0
228,0
335,1
185,0
54,0
499,0
387,0
375,0
253,0
23,0
161,0
157,0
81,0
402,0
158,0
187,0
59,1
402,0
304,0
318,1
365,0
210,0
405,0
151,1
108,0
75,0
29,0
313,0
485,0
116,0
414,0
355,0
191,0
18,0
431,0
172,0
227,0
349,0
182,0
112,0
182,0
480,0
145,0
318,1
115,0
112,0
250,0
475,0
250,0
302,0
458,0
312,1
117,0
300,1
160,0
400,0
197,0
259,0
147,0
239,0
46,0
474,0
398,0
197,0
46,0
77,0
123,0
74,0
358,0
136,0
89,0
399,0
324,1
499,0
60,0
137,0
49,0
258,0
460,0
106,0
112,0
349,0
253,0
117,0
492,0
197,0
336,0
364,0
50,0
244,0
402,0
425,0
34,0
301,0
409,0
498,0
68,0
348,0
319,0
420,0
467,0
48,0
404,0
73,0
191,0
260,0
355,0
69,0
89,0
259,0
125,0
230,0
294,0
497,1
418,0
128,0
279,0
312,1
99,0
325,0
296,0
181,1
173,0
315,0
363,0
187,0
56,1
30,0
83,0
151,1
472,0
35,0
212,0
413,0
407,0
363,0
105,1
413,0
341,0
219,0
390,0
162,0
438,0
219,0
269,0
119,0
393,0
335,1
399,0
181,1
478,0
105,1
216,0
204,0
69,0
43,1
328,0
300,1
227,0
183,0
106,0
83,0
337,0
249,0
362,0
440,0
20,0
195,0
177,0
416,0
474,0
6,1
69,0
126,0
398,0
465,0
159,1
247,0
202,0
147,0
471,0
142,0
431,0
198,0
404,0
425,0
153,0
491,0
375,0
383,0
141,0
312,1
164,0
313,0
20,0
81,0
68,0
130,0
86,1
217,0
420,0
471,0
304,0
402,0
370,0
344,1
340,0
383,0
395,0
444,0
424,0
160,0
177,0
116,0
195,0
382,0
489,0
326,0
85,0
288,0
80,0
151,1
60,0
60,0
353,0
27,0
441,0
42,1
168,1
422,0
85,0
176,1
16,1
97,0
453,0
493,0
197,0
97,0
64,0
329,0
340,0
4,0
1,0
21,0
111,0
56,1
65,1
329,0
97,0
143,0
367,0
434,0
124,0
166,0
85,0
75,0
343,0
494,0
423,1
293,0
443,0
58,1
137,0
98,0
191,0
242,0
318,1
48,0
447,0
31,0
390,0
276,0
19,0
153,0
382,0
67,0
365,0
371,0
213,0
142,0
375,0
231,1
212,0
78,0
213,0
115,0
91,0
269,0
410,0
380,0
488,0
167,0
57,0
283,0
25,0
368,0
446,0
65,1
408,0
247,0
253,0
386,0
455,0
43,1
96,0
41,0
499,0
226,0
261,0
166,0
435,0
278,1
88,0
378,0
177,0
426,0
402,0
196,0
306,0
266,0
267,0
73,0
7,0
407,0
475,0
296,0
163,0
484,0
84,0
71,0
54,0
392,1
46,0
398,0
431,0
237,0
103,0
209,0
41,0
315,0
467,0
453,0
267,0
385,0
262,0
335,1
386,0
364,0
258,0
282,0
113,0
362,0
39,0
485,0
416,0
219,0
128,0
7,0
100,0
415,1
379,0
175,0
106,0
100,0
259,0
477,0
453,0
365,0
245,0
274,0
31,0
136,0
11,0
394,0
301,0
374,0
15,0
128,0
62,0
108,0
374,0
20,0
157,0
268,1
161,0
259,0
411,0
101,0
222,0
58,1
246,0
127,0
282,0
324,1
24,0
130,0
352,0
195,0
280,0
403,0
417,0
153,0
381,0
132,0
226,0
188,0
475,0
476,1
264,0
371,0
485,0
433,0
133,0
210,0
59,1
427,0
376,0
394,0
449,0
430,0
363,0
363,0
456,0
212,0
215,0
225,0
469,0
130,0
75,0
475,0
285,0
473,0
495,0
276,0
155,0
247,0
217,0
189,0
416,0
468,0
162,0
179,1
33,0
40,0
306,0
430,0
337,0
313,0
74,0
440,0
278,1
175,0
383,0
149,0
272,0
324,1
107,0
138,0
349,0
270,0
346,0
418,0
288,0
211,1
380,0
271,0
417,0
65,1
482,0
423,1
247,0
155,0
46,0
422,0
453,0
200,0
147,0
123,0
0,0
455,0
246,0
342,1
127,0
190,0
66,0
3,0
441,0
408,0
302,0
293,0
142,0
190,0
20,0
226,0
312,1
116,0
436,0
301,0
499,0
141,0
483,0
459,0
400,0
38,0
392,1
354,0
251,0
332,0
206,1
209,0
114,0
224,0
133,0
250,0
218,1
406,0
442,1
90,0
353,0
375,0
45,0
37,0
141,0
99,0
327,0
189,0
34,0
146,0
29,0
333,0
83,0
368,0
280,0
423,1
343,0
269,0
153,0
101,0
214,0
149,0
431,0
82,0
109,0
434,0
386,0
425,0
274,0
200,0
283,0
467,0
172,0
326,0
205,0
62,0
72,0
250,0
123,0
374,0
120,0
274,0
430,0
499,0
397,0
119,0
421,0
436,0
316,0
163,0
423,1
464,0
285,0
264,0
319,0
160,0
375,0
307,0
88,0
141,0
202,0
308,0
226,0
488,0
442,1
333,0
221,0
40,0
195,0
67,0
475,0
263,0
1,0
360,0
124,0
109,0
85,0
424,0
119,0
126,0
254,0
182,0
15,0
476,1
61,0
368,0
431,0
157,0
267,0
34,0
266,0
63,0
493,0
49,0
468,0
254,0
148,0
324,1
303,0
275,0
356,0
450,0
171,0
416,0
200,0
444,0
392,1
323,0
34,0
464,0
481,0
215,0
479,0
64,0
7,0
300,1
342,1
430,0
423,1
331,0
437,1
75,0
173,0
46,0
14,0
360,0
146,0
25,0
307,0
92,0
405,0
231,1
20,0
306,0
37,0
275,0
156,0
178,0
131,0
310,0
454,0
347,0
27,0
259,0
405,0
75,0
428,0
66,0
341,0
491,0
193,0
471,0
161,0
346,0
438,0
360,0
256,0
71,0
86,1
421,0
261,0
213,0
152,0
209,0
400,0
60,0
267,0
261,0
217,0
282,0
135,0
466,0
379,0
361,0
448,0
440,0
92,0
108,0
240,0
354,0
423,1
141,0
290,0
431,0
236,0
339,0
311,0
176,1
140,0
188,0
485,0
48,0
301,0
368,0
189,0
135,0
42,1
403,0
379,0
352,0
89,0
294,0
340,0
244,0
432,0
191,0
317,0
105,1
362,0
309,0
381,0
232,0
264,0
343,0
36,0
304,0
40,0
16,1
343,0
276,0
306,0
58,1
422,0
182,0
40,0
38,0
396,0
191,0
266,0
493,0
146,0
394,0
332,0
126,0
45,0
44,1
0,0
167,0
107,0
18,0
331,0
71,0
455,0
444,0
108,0
267,0
444,0
239,0
416,0
300,1
89,0
102,0
475,0
249,0
452,0
7,0
152,0
346,0
173,0
342,1
157,0
492,0
430,0
214,0
176,1
174,0
339,0
337,0
145,0
449,0
323,0
477,0
160,0
126,0
419,0
81,0
484,0
146,0
238,1
411,0
423,1
83,0
112,0
224,0
331,0
377,0
242,0
142,0
40,0
422,0
257,0
446,0
284,0
104,0
201,1
449,0
306,0
330,1
460,0
265,0
397,0
209,0
50,0
117,0
200,0
376,0
38,0
27,0
258,0
83,0
453,0
154,0
116,0
1,0
92,0
165,0
386,0
399,0
349,0
295,1
257,0
80,0
424,0
267,0
418,0
234,0
320,0
310,0
300,1
462,0
473,0
356,0
212,0
61,0
48,0
126,0
222,0
408,0
278,1
407,0
293,0
283,0
276,0
437,1
106,0
145,0
419,0
98,0
428,0
374,0
72,0
436,0
485,0
121,0
29,0
187,0
363,0
353,0
287,0
450,0
194,0
155,0
171,0
334,0
40,0
62,0
22,0
359,0
74,0
47,0
159,1
312,1
117,0
99,0
379,0
416,0
407,0
166,0
289,0
439,1
155,0
420,0
6,1
195,0
420,0
55,1
320,0
192,0
46,0
147,0
274,0
156,0
201,1
443,0
401,0
475,0
418,0
426,0
494,0
478,0
474,0
125,0
394,0
304,0
368,0
293,0
63,0
324,1
391,0
417,0
175,0
115,0
439,1
203,0
485,0
320,0
30,0
387,0
112,0
364,0
433,0
324,1
413,0
375,0
343,0
442,1
66,0
74,0
44,1
259,0
153,0
154,0
429,1
362,0
447,0
474,0
233,0
50,0
305,0
261,0
314,0
124,0
398,0
244,0
29,0
425,0
484,0
121,0
124,0
36,0
169,0
123,0
356,0
34,0
86,1
133,0
195,0
273,0
200,0
368,0
284,0
76,0
58,1
430,0
125,0
499,0
400,0
108,0
223,0
495,0
277,0
67,0
68,0
164,0
488,0
304,0
396,0
161,0
364,0
341,0
308,0
378,0
342,1
434,0
386,0
41,0
353,0
415,1
108,0
50,0
249,0
496,0
340,0
429,1
382,0
491,0
20,0
299,0
138,0
358,0
323,0
498,0
384,0
91,0
446,0
279,0
124,0
482,0
396,0
110,0
353,0
138,0
483,0
434,0
272,0
98,0
251,0
337,0
103,0
213,0
248,0
151,1
249,0
274,0
164,0
486,0
340,0
7,0
283,0
4,0
144,0
100,0
163,0
373,0
146,0
63,0
90,0
116,0
353,0
266,0
309,0
172,0
46,0
139,0
245,0
148,0
245,0
394,0
486,0
475,0
4,0
464,0
183,0
19,0
424,0
45,0
11,0
69,0
16,1
370,0
146,0
153,0
303,0
107,0
235,0
307,0
351,0
69,0
182,0
249,0
227,0
101,0
74,0
416,0
445,0
215,0
406,0
398,0
410,0
202,0
191,0
248,0
498,0
241,0
464,0
178,0
436,0
461,0
218,1
81,0
91,0
434,0
174,0
238,1
259,0
390,0
364,0
162,0
47,0
328,0
327,0
115,0
428,0
336,0
336,0
368,0
224,0
351,0
327,0
146,0
62,0
293,0
322,0
442,1
324,1
12,1
430,0
493,0
188,0
286,1
207,0
113,0
479,0
21,0
348,0
213,0
170,0
322,0
53,0
393,0
297,0
319,0
125,0
276,0
463,0
203,0
193,0
168,1
151,1
34,0
183,0
285,0
56,1
221,0
302,0
162,0
18,0
369,0
263,0
281,0
112,0
487,0
326,0
29,0
134,0
66,0
64,0
291,0
24,0
36,0
0,0
398,0
36,0
140,0
231,1
135,0
388,0
187,0
127,0
200,0
126,0
256,0
163,0
34,0
193,0
190,0
